week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2023-07-03,BEV-001,STR-001,111,116,115,112,False
2023-07-03,BEV-002,STR-001,189,192,161,220,False
2023-07-03,BEV-003,STR-001,179,129,132,176,False
2023-07-03,BEV-004,STR-001,148,62,94,116,False
2023-07-03,BEV-005,STR-001,264,120,220,164,False
2023-07-03,BEV-006,STR-001,187,137,137,187,False
2023-07-03,BEV-007,STR-001,129,111,100,140,False
2023-07-03,BEV-008,STR-001,74,47,79,42,False
2023-07-03,BEV-009,STR-001,155,118,116,157,False
2023-07-03,BEV-010,STR-001,105,57,76,86,False
2023-07-03,BEV-011,STR-001,97,87,104,80,False
2023-07-03,BEV-012,STR-001,101,37,61,77,False
2023-07-03,BEV-013,STR-001,108,66,73,101,False
2023-07-03,BEV-014,STR-001,145,86,104,127,False
2023-07-03,BEV-015,STR-001,155,133,115,173,False
2023-07-03,BEV-001,STR-002,141,173,155,159,False
2023-07-03,BEV-002,STR-002,230,108,147,191,False
2023-07-03,BEV-003,STR-002,135,70,141,64,False
2023-07-03,BEV-004,STR-002,106,82,70,118,False
2023-07-03,BEV-005,STR-002,112,49,86,75,False
2023-07-03,BEV-006,STR-002,149,77,91,135,False
2023-07-03,BEV-007,STR-002,142,74,121,95,False
2023-07-03,BEV-008,STR-002,184,122,107,199,False
2023-07-03,BEV-009,STR-002,83,37,65,55,False
2023-07-03,BEV-010,STR-002,189,112,106,195,False
2023-07-03,BEV-011,STR-002,95,82,92,85,False
2023-07-03,BEV-012,STR-002,210,153,130,233,False
2023-07-03,BEV-013,STR-002,103,107,112,98,False
2023-07-03,BEV-014,STR-002,116,105,121,100,False
2023-07-03,BEV-015,STR-002,209,136,119,226,False
2023-07-03,BEV-001,STR-003,92,61,62,91,False
2023-07-03,BEV-002,STR-003,103,53,70,86,False
2023-07-03,BEV-003,STR-003,100,53,80,73,False
2023-07-03,BEV-004,STR-003,193,130,143,180,False
2023-07-03,BEV-005,STR-003,70,42,81,31,False
2023-07-03,BEV-006,STR-003,63,33,48,48,False
2023-07-03,BEV-007,STR-003,52,39,39,52,False
2023-07-03,BEV-008,STR-003,52,25,38,39,False
2023-07-03,BEV-009,STR-003,70,32,58,44,False
2023-07-03,BEV-010,STR-003,73,50,64,59,False
2023-07-03,BEV-011,STR-003,41,46,49,38,False
2023-07-03,BEV-012,STR-003,51,60,60,51,False
2023-07-03,BEV-013,STR-003,49,34,54,29,False
2023-07-03,BEV-014,STR-003,41,27,44,24,False
2023-07-03,BEV-015,STR-003,90,29,54,65,False
2023-07-03,BEV-001,STR-004,649,222,392,479,False
2023-07-03,BEV-002,STR-004,399,152,298,253,False
2023-07-03,BEV-003,STR-004,1142,992,1182,952,False
2023-07-03,BEV-004,STR-004,114,51,95,70,False
2023-07-03,BEV-005,STR-004,415,159,233,341,False
2023-07-03,BEV-006,STR-004,254,161,203,212,False
2023-07-03,BEV-007,STR-004,337,167,188,316,False
2023-07-03,BEV-008,STR-004,194,144,204,134,False
2023-07-03,BEV-009,STR-004,165,105,120,150,False
2023-07-03,BEV-010,STR-004,163,173,191,145,False
2023-07-03,BEV-011,STR-004,353,130,214,269,False
2023-07-03,BEV-012,STR-004,227,163,259,131,False
2023-07-03,BEV-013,STR-004,264,118,179,203,False
2023-07-03,BEV-014,STR-004,693,265,503,455,False
2023-07-03,BEV-015,STR-004,780,289,450,619,False
2023-07-03,BEV-001,STR-005,183,137,177,143,False
2023-07-03,BEV-002,STR-005,175,115,160,130,False
2023-07-03,BEV-003,STR-005,116,109,134,91,False
2023-07-03,BEV-004,STR-005,197,60,110,147,False
2023-07-03,BEV-005,STR-005,108,117,102,123,False
2023-07-03,BEV-006,STR-005,199,90,119,170,False
2023-07-03,BEV-007,STR-005,140,85,86,139,False
2023-07-03,BEV-008,STR-005,166,89,93,162,False
2023-07-03,BEV-009,STR-005,398,131,230,299,False
2023-07-03,BEV-010,STR-005,75,79,71,83,False
2023-07-03,BEV-011,STR-005,101,73,106,68,False
2023-07-03,BEV-012,STR-005,120,103,105,118,False
2023-07-03,BEV-013,STR-005,130,67,100,97,False
2023-07-03,BEV-014,STR-005,80,89,95,74,False
2023-07-03,BEV-015,STR-005,60,52,72,40,False
2023-07-03,BEV-001,STR-006,329,277,343,263,False
2023-07-03,BEV-002,STR-006,190,80,140,130,False
2023-07-03,BEV-003,STR-006,187,76,126,137,False
2023-07-03,BEV-004,STR-006,334,146,242,238,False
2023-07-03,BEV-005,STR-006,314,311,270,355,False
2023-07-03,BEV-006,STR-006,115,103,138,80,False
2023-07-03,BEV-007,STR-006,151,77,103,125,False
2023-07-03,BEV-008,STR-006,175,124,105,194,False
2023-07-03,BEV-009,STR-006,170,65,99,136,False
2023-07-03,BEV-010,STR-006,99,38,62,75,False
2023-07-03,BEV-011,STR-006,96,113,99,110,False
2023-07-03,BEV-012,STR-006,122,97,101,118,False
2023-07-03,BEV-013,STR-006,156,91,149,98,False
2023-07-03,BEV-014,STR-006,113,50,96,67,False
2023-07-03,BEV-015,STR-006,105,121,106,120,False
2023-07-03,BEV-001,STR-007,241,165,149,257,False
2023-07-03,BEV-002,STR-007,167,89,115,141,False
2023-07-03,BEV-003,STR-007,159,191,184,166,False
2023-07-03,BEV-004,STR-007,150,112,115,147,False
2023-07-03,BEV-005,STR-007,131,60,116,75,False
2023-07-03,BEV-006,STR-007,87,74,82,79,False
2023-07-03,BEV-007,STR-007,107,117,128,96,False
2023-07-03,BEV-008,STR-007,114,57,72,99,False
2023-07-03,BEV-009,STR-007,102,126,112,116,False
2023-07-03,BEV-010,STR-007,121,115,144,92,False
2023-07-03,BEV-011,STR-007,128,78,80,126,False
2023-07-03,BEV-012,STR-007,136,56,89,103,False
2023-07-03,BEV-013,STR-007,178,116,102,192,False
2023-07-03,BEV-014,STR-007,131,52,90,93,False
2023-07-03,BEV-015,STR-007,90,66,69,87,False
2023-07-03,BEV-001,STR-008,113,67,76,104,False
2023-07-03,BEV-002,STR-008,86,45,59,72,False
2023-07-03,BEV-003,STR-008,79,73,82,70,False
2023-07-03,BEV-004,STR-008,66,29,41,54,False
2023-07-03,BEV-005,STR-008,103,60,65,98,False
2023-07-03,BEV-006,STR-008,52,40,42,50,False
2023-07-03,BEV-007,STR-008,74,55,47,82,False
2023-07-03,BEV-008,STR-008,84,40,58,66,False
2023-07-03,BEV-009,STR-008,53,21,38,36,False
2023-07-03,BEV-010,STR-008,53,37,52,38,False
2023-07-03,BEV-011,STR-008,59,33,63,29,False
2023-07-03,BEV-012,STR-008,47,35,34,48,False
2023-07-03,BEV-013,STR-008,87,46,52,81,False
2023-07-03,BEV-014,STR-008,62,41,53,50,False
2023-07-03,BEV-015,STR-008,164,67,104,127,False
2023-07-03,BEV-001,STR-009,83,46,56,73,False
2023-07-03,BEV-002,STR-009,94,32,55,71,False
2023-07-03,BEV-003,STR-009,181,147,124,204,False
2023-07-03,BEV-004,STR-009,92,59,53,98,False
2023-07-03,BEV-005,STR-009,80,45,53,72,False
2023-07-03,BEV-006,STR-009,71,59,53,77,False
2023-07-03,BEV-007,STR-009,54,29,43,40,False
2023-07-03,BEV-008,STR-009,74,53,52,75,False
2023-07-03,BEV-009,STR-009,75,36,53,58,False
2023-07-03,BEV-010,STR-009,110,78,107,81,False
2023-07-03,BEV-011,STR-009,60,41,69,32,False
2023-07-03,BEV-012,STR-009,52,35,55,32,False
2023-07-03,BEV-013,STR-009,42,31,38,35,False
2023-07-03,BEV-014,STR-009,101,88,85,104,False
2023-07-03,BEV-015,STR-009,32,44,40,36,False
2023-07-03,BEV-001,STR-010,111,100,87,124,False
2023-07-03,BEV-002,STR-010,109,103,92,120,False
2023-07-03,BEV-003,STR-010,84,63,63,84,False
2023-07-03,BEV-004,STR-010,101,50,60,91,False
2023-07-03,BEV-005,STR-010,69,41,54,56,False
2023-07-03,BEV-006,STR-010,92,58,58,92,False
2023-07-03,BEV-007,STR-010,118,81,69,130,False
2023-07-03,BEV-008,STR-010,81,43,48,76,False
2023-07-03,BEV-009,STR-010,37,33,42,28,False
2023-07-03,BEV-010,STR-010,40,27,41,26,False
2023-07-03,BEV-011,STR-010,52,30,42,40,False
2023-07-03,BEV-012,STR-010,52,57,49,60,False
2023-07-03,BEV-013,STR-010,86,43,53,76,False
2023-07-03,BEV-014,STR-010,45,61,53,53,False
2023-07-03,BEV-015,STR-010,50,67,58,59,False
2023-07-03,BEV-001,STR-011,270,139,271,138,False
2023-07-03,BEV-002,STR-011,179,187,194,172,False
2023-07-03,BEV-003,STR-011,144,140,142,142,False
2023-07-03,BEV-004,STR-011,149,142,154,137,False
2023-07-03,BEV-005,STR-011,103,121,113,111,False
2023-07-03,BEV-006,STR-011,75,42,83,34,False
2023-07-03,BEV-007,STR-011,116,92,79,129,False
2023-07-03,BEV-008,STR-011,166,60,110,116,False
2023-07-03,BEV-009,STR-011,137,54,96,95,False
2023-07-03,BEV-010,STR-011,188,104,114,178,False
2023-07-03,BEV-011,STR-011,306,221,230,297,False
2023-07-03,BEV-012,STR-011,199,195,246,148,False
2023-07-03,BEV-013,STR-011,102,62,83,81,False
2023-07-03,BEV-014,STR-011,88,42,70,60,False
2023-07-03,BEV-015,STR-011,120,86,91,115,False
2023-07-03,BEV-001,STR-012,302,183,176,309,False
2023-07-03,BEV-002,STR-012,253,142,156,239,False
2023-07-03,BEV-003,STR-012,118,130,113,135,False
2023-07-03,BEV-004,STR-012,128,105,103,130,False
2023-07-03,BEV-005,STR-012,158,79,108,129,False
2023-07-03,BEV-006,STR-012,92,68,82,78,False
2023-07-03,BEV-007,STR-012,109,71,103,77,False
2023-07-03,BEV-008,STR-012,169,89,101,157,False
2023-07-03,BEV-009,STR-012,76,51,77,50,False
2023-07-03,BEV-010,STR-012,145,71,107,109,False
2023-07-03,BEV-011,STR-012,167,90,111,146,False
2023-07-03,BEV-012,STR-012,310,299,304,305,False
2023-07-03,BEV-013,STR-012,167,100,121,146,False
2023-07-03,BEV-014,STR-012,88,73,72,89,False
2023-07-03,BEV-015,STR-012,121,55,81,95,False
2023-07-03,BEV-001,STR-013,76,52,83,45,False
2023-07-03,BEV-002,STR-013,245,252,248,249,False
2023-07-03,BEV-003,STR-013,115,85,83,117,False
2023-07-03,BEV-004,STR-013,158,96,89,165,False
2023-07-03,BEV-005,STR-013,65,39,56,48,False
2023-07-03,BEV-006,STR-013,56,32,61,27,False
2023-07-03,BEV-007,STR-013,223,87,149,161,False
2023-07-03,BEV-008,STR-013,73,63,57,79,False
2023-07-03,BEV-009,STR-013,59,37,47,49,False
2023-07-03,BEV-010,STR-013,49,67,58,58,False
2023-07-03,BEV-011,STR-013,68,32,42,58,False
2023-07-03,BEV-012,STR-013,81,76,86,71,False
2023-07-03,BEV-013,STR-013,80,26,45,61,False
2023-07-03,BEV-014,STR-013,71,53,51,73,False
2023-07-03,BEV-015,STR-013,96,59,73,82,False
2023-07-03,BEV-001,STR-014,156,112,94,174,False
2023-07-03,BEV-002,STR-014,242,158,171,229,False
2023-07-03,BEV-003,STR-014,178,65,102,141,False
2023-07-03,BEV-004,STR-014,132,55,91,96,False
2023-07-03,BEV-005,STR-014,106,61,122,45,False
2023-07-03,BEV-006,STR-014,140,71,101,110,False
2023-07-03,BEV-007,STR-014,117,77,78,116,False
2023-07-03,BEV-008,STR-014,127,98,86,139,False
2023-07-03,BEV-009,STR-014,162,109,114,157,False
2023-07-03,BEV-010,STR-014,104,74,85,93,False
2023-07-03,BEV-011,STR-014,177,112,104,185,False
2023-07-03,BEV-012,STR-014,482,277,303,456,False
2023-07-03,BEV-013,STR-014,149,70,87,132,False
2023-07-03,BEV-014,STR-014,157,111,143,125,False
2023-07-03,BEV-015,STR-014,151,91,113,129,False
2023-07-03,BEV-001,STR-015,150,90,89,151,False
2023-07-03,BEV-002,STR-015,128,102,156,74,False
2023-07-03,BEV-003,STR-015,215,118,130,203,False
2023-07-03,BEV-004,STR-015,403,303,293,413,False
2023-07-03,BEV-005,STR-015,110,68,84,94,False
2023-07-03,BEV-006,STR-015,176,78,98,156,False
2023-07-03,BEV-007,STR-015,194,91,110,175,False
