week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2023-07-03,BEV-001,STR-001,North,115,172.5,False,,0.0
2023-07-03,BEV-002,STR-001,North,161,241.5,False,,0.0
2023-07-03,BEV-003,STR-001,North,132,158.4,False,,0.0
2023-07-03,BEV-004,STR-001,North,94,94.0,False,,0.0
2023-07-03,BEV-005,STR-001,North,220,220.0,True,Display Feature,0.0
2023-07-03,BEV-006,STR-001,North,137,178.1,False,,0.0
2023-07-03,BEV-007,STR-001,North,100,130.0,False,,0.0
2023-07-03,BEV-008,STR-001,North,79,276.5,False,,0.0
2023-07-03,BEV-009,STR-001,North,116,440.8,False,,0.0
2023-07-03,BEV-010,STR-001,North,76,152.0,False,,0.0
2023-07-03,BEV-011,STR-001,North,104,260.0,False,,0.0
2023-07-03,BEV-012,STR-001,North,61,152.5,False,,0.0
2023-07-03,BEV-013,STR-001,North,73,131.4,False,,0.0
2023-07-03,BEV-014,STR-001,North,104,156.0,False,,0.0
2023-07-03,BEV-015,STR-001,North,115,184.0,False,,0.0
2023-07-03,BEV-001,STR-002,East,155,232.5,False,,0.0
2023-07-03,BEV-002,STR-002,East,147,220.5,False,,0.0
2023-07-03,BEV-003,STR-002,East,141,169.2,False,,0.0
2023-07-03,BEV-004,STR-002,East,70,70.0,False,,0.0
2023-07-03,BEV-005,STR-002,East,86,86.0,False,,0.0
2023-07-03,BEV-006,STR-002,East,91,118.3,False,,0.0
2023-07-03,BEV-007,STR-002,East,121,157.3,False,,0.0
2023-07-03,BEV-008,STR-002,East,107,374.5,False,,0.0
2023-07-03,BEV-009,STR-002,East,65,247.0,False,,0.0
2023-07-03,BEV-010,STR-002,East,106,212.0,False,,0.0
2023-07-03,BEV-011,STR-002,East,92,230.0,False,,0.0
2023-07-03,BEV-012,STR-002,East,130,325.0,True,Bundle,0.0
2023-07-03,BEV-013,STR-002,East,112,201.6,False,,0.0
2023-07-03,BEV-014,STR-002,East,121,181.5,False,,0.0
2023-07-03,BEV-015,STR-002,East,119,190.4,False,,0.0
2023-07-03,BEV-001,STR-003,South,62,93.0,False,,0.0
2023-07-03,BEV-002,STR-003,South,70,105.0,False,,0.0
2023-07-03,BEV-003,STR-003,South,80,96.0,False,,0.0
2023-07-03,BEV-004,STR-003,South,143,100.1,True,Price Cut,0.3
2023-07-03,BEV-005,STR-003,South,81,72.9,True,Price Cut,0.1
